customer_unique_id,recency,R,frequency,F,monetary,M,score,RFM_level
0680711d6e757ec7287a047650d3896b,332,1,1,0,359.0,1,2,Regular
068d4c8ab0671a7cfe81a0ea95e5e895,549,0,1,0,299.0,1,1,Ruim
06944904bd31234a78668f4bb962817d,37,4,1,0,495.6,2,6,Ótimo
0695109d8c6c82bacc86e47a6246c390,436,1,3,2,569.8199999999999,2,5,Muito bom
069d3082416b15225a220a70bbeeae99,549,0,1,0,343.4,1,1,Ruim
06a2f322004ebb6e68107114e2020afc,338,1,1,0,895.0,2,3,Regular
06b0421991a8b33ebcd370945f3494c0,123,3,1,0,519.0,2,5,Muito bom
06b6656e6aba924b64a5d671d1b1ec2e,516,0,1,0,1199.9,3,3,Regular
06b6fb89a0699b61fdfaedcc3005a204,153,3,1,0,356.19,1,4,Bom
06b77fff2cc4b645c3fcce45c57fa9b1,149,3,1,0,1299.0,3,6,Ótimo
06b825ab0cda1781409d7188a56adb20,399,1,1,0,899.0,2,3,Regular
06bdfbbe1857c3c925ec81abfb1c9666,699,0,1,0,179.9,1,1,Ruim
06c0e20a617982c7a5113459fde779a4,527,0,3,2,897.0,2,4,Bom
06c18dc9dc7a01e3322f4e9245dac0ed,151,3,6,3,499.02,2,8,Ótimo
06c561c88ff6b8813508f972f71829d2,572,0,1,0,349.9,1,1,Ruim
06c5db39fbbb2349c91208f215c0fc5b,442,1,1,0,249.99,1,2,Regular
06cda0f6b654274ef36983dc027aecaa,516,0,1,0,369.9,1,1,Ruim
06d4334ea4015768bd38c2d5531efe95,341,1,1,0,402.9,1,2,Regular
06e064e7008f3d351d74a80da7576bcc,503,0,1,0,399.9,1,1,Ruim
06e0c97721bd7ef0a4630570de1eeb98,49,4,1,0,699.4,2,6,Ótimo
06e7c0ffe7f197e5ee11cd888ea71c95,340,1,1,0,810.0,2,3,Regular
06ee95df85ab27db04eebc85ce42e3df,522,0,2,1,430.9,1,2,Regular
06efe14ae14452f6c8cd70696f9478ac,205,3,3,2,339.0,1,6,Ótimo
06f1d66196374b588fbf7cbc2793874d,214,3,2,1,538.0,2,6,Ótimo
06fb1a9b50a0dd027075ddd14016f869,353,1,1,0,419.9,1,2,Regular
06fe5f5b627aa404e13f99f7b9e12956,200,3,2,1,254.0,1,5,Muito bom
0700983d7f5192901b3732bc96c03c23,37,4,6,3,230.4,1,8,Ótimo
070447b7f798d0fff61e13a5a03522d3,140,3,1,0,948.0,2,5,Muito bom
0707117f3ac119a358ab224e7273c6da,202,3,1,0,395.65,1,4,Bom
070864e2a7406d03f7071e27dd46d21e,536,0,6,3,539.9399999999999,2,5,Muito bom
070acf4df1234a6257809e4e79644481,48,4,7,3,873.99,2,9,Ótimo
071fb07419a29c8ba143831082e0320a,237,2,2,1,449.84999999999997,1,4,Bom
07216c3351ab63d5087691e3324da3e2,151,3,1,0,467.0,1,4,Bom
0724e62851ab8f4d61908341b6ec6a3d,243,2,1,0,489.0,2,4,Bom
0728106bcd50b527bd5f6e9412fac0f5,234,2,1,0,649.9,2,4,Bom
072ee71e1fabf49e6e17a47132ec849a,280,2,1,0,335.0,1,3,Regular
07342638d0e0aad32c3cf0efc1a37ba5,342,1,4,2,549.78,2,5,Muito bom
0735a99476288eff0dc7582df42af8b7,180,3,1,0,429.9,1,4,Bom
0741fe7ca466a771cea561293fc17b5a,67,4,1,0,619.9,2,6,Ótimo
07547425c8f7a7086f529f2d3b80d21a,83,4,4,2,339.44,1,7,Ótimo
0759d933887c91f517086ed1bbac859b,493,0,2,1,339.98,1,2,Regular
077c6658adbb60fcf8437e255c00e906,115,3,1,0,334.99,1,4,Bom
07956f7094f471deeac069594a73c44c,237,2,1,0,647.91,2,4,Bom
0795c2e6501b727255b4f0fa37986860,91,4,2,1,291.8,1,6,Ótimo
079ad4f138ec38e726e7d9ac51ae1410,183,3,1,0,1635.0,3,6,Ótimo
07a0a4dd3a3e7330c9f1cbf44995ba10,424,1,1,0,164.9,1,2,Regular
07a4e0e7b1830637918621fbd75c6c09,95,4,1,0,429.9,1,5,Muito bom
07a7972e43bf88e50a7376e6f1ae4e21,252,2,1,0,299.0,1,3,Regular
07b28cf1d8515d08ccca505e273fffaf,528,0,2,1,603.89,2,3,Regular
07c22a44928ca8ae6bc30e698c41d053,483,0,1,0,699.99,2,2,Regular
07c33c121e3d2aa03ba8c11d4efe6704,332,1,1,0,326.16,1,2,Regular
